City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kloulklubed,PW,81.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
3,Ponta Do Sol,PT,76.01,scattered clouds,32.6667,-17.1,Hotel do Campo
5,Jamestown,US,78.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Albany,US,83.44,broken clouds,42.6001,-73.9662,
21,Atuona,PF,77.88,clear sky,-9.8,-139.0333,Villa Enata
23,Hithadhoo,MV,83.44,overcast clouds,-0.6,73.0833,Scoop Guest House
27,Touros,BR,78.26,few clouds,-5.1989,-35.4608,INN NEW HORIZON
30,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,Bethel,US,85.89,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
47,Tabou,CI,75.79,overcast clouds,4.423,-7.3528,hotêl doufoulougou
49,Khargone,IN,76.17,overcast clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
52,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
54,Umm Kaddadah,SD,85.87,broken clouds,13.6017,26.6876,
60,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Nanakuli,US,79.99,light rain,21.3906,-158.1547,Camp Pālehua
63,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
67,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Thinadhoo,MV,83.1,broken clouds,0.5333,72.9333,
71,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Jodhpur,IN,87.89,scattered clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
87,Dunga Bunga,PK,84.81,broken clouds,29.7493,73.2432,Karachi baryani and nasta point
91,Kudahuvadhoo,MV,83.03,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
94,Ventanas,EC,88.07,broken clouds,-1.45,-79.4667,Hotel Kalabi INN
97,Norfolk,US,88.34,broken clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
99,Fairfield,US,86.05,broken clouds,41.2668,-73.3162,
101,Syracuse,IT,81.99,scattered clouds,37.0881,15.2792,Hotel Posta
104,Half Moon Bay,US,87.04,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
105,Kieta,PG,77.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
110,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
112,Kourou,GF,82.11,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
113,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
118,Pakxan,LA,76.21,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
119,Caningay,PH,75.15,moderate rain,9.8297,122.6442,Art Pension House
120,Tabatinga,BR,86.09,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
121,Alice Town,BS,85.05,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
123,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
133,Manoel Urbano,BR,84.92,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
143,Shenjiamen,CN,77.47,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
144,Avera,US,86.05,overcast clouds,33.194,-82.5271,
148,Akyab,MM,80.98,broken clouds,20.15,92.9,Hotel Memory
149,Kavieng,PG,81.25,light rain,-2.5744,150.7967,Nusa Island Retreat
151,Tamiahua,MX,87.3,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
153,Kutum,SD,76.39,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
156,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
157,South Lake Tahoe,US,88.79,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
163,Jalu,LY,81.3,clear sky,29.0331,21.5482,صاحبة الفخامة
166,Douentza,ML,89.56,broken clouds,14.9951,-2.9517,Ogomono Doumbo
169,Guerrero Negro,MX,75.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
171,Lazaro Cardenas,MX,88.59,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
175,Bengkulu,ID,76.77,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
180,Gresham,US,78.58,clear sky,45.4982,-122.4315,McMenamins Edgefield
181,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
182,Lorengau,PG,80.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
184,Awbari,LY,85.21,clear sky,26.5921,12.7805,فندق أوباري
187,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
188,Labuhan,ID,76.68,light rain,-6.8844,112.2051,DoubleFAG
189,Trinidad,BO,89.58,broken clouds,-14.8333,-64.9,Hotel Piesta
192,Dwarka,IN,82.04,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
194,Jak,HU,78.15,scattered clouds,47.1425,16.5815,Németh-Szeitl Kúria
195,Moose Factory,CA,78.8,few clouds,51.2585,-80.6094,Cree Village Eco Lodge
198,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
202,Suyan,PH,75.02,broken clouds,6.0603,125.3853,
