City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kloulklubed,7.0419,134.2556,81.9,79,84,6.87,PW,broken clouds
1,Rikitea,-23.1203,-134.9692,66.4,82,100,11.18,PF,light rain
2,Cabinda,-5.55,12.2,71.74,88,75,5.75,AO,broken clouds
3,Ponta Do Sol,32.6667,-17.1,76.01,71,35,7.2,PT,scattered clouds
4,Waingapu,-9.6567,120.2641,72.99,85,37,8.7,ID,scattered clouds
5,Jamestown,42.097,-79.2353,78.06,50,0,9.22,US,clear sky
6,Salina,38.8403,-97.6114,101.01,31,0,35.01,US,clear sky
7,Port Alfred,-33.5906,26.891,57.94,80,12,14.7,ZA,few clouds
8,Cape Town,-33.9258,18.4232,56.91,88,16,3.44,ZA,mist
9,Hobart,-42.8794,147.3294,44.26,97,100,3.44,AU,overcast clouds
10,Tiksi,71.6872,128.8694,49.98,82,100,4.09,RU,overcast clouds
11,Busselton,-33.65,115.3333,59.5,74,78,15.08,AU,broken clouds
12,Albany,42.6001,-73.9662,83.44,43,57,1.99,US,broken clouds
13,Srednekolymsk,67.45,153.6833,53.51,40,68,10.94,RU,broken clouds
14,Chokurdakh,70.6333,147.9167,52.65,57,81,5.66,RU,broken clouds
15,Taoudenni,22.6783,-3.9836,105.94,6,34,13.94,ML,scattered clouds
16,Tazovskiy,67.4667,78.7,49.12,73,9,6.89,RU,clear sky
17,Asau,46.4333,26.4,69.28,67,98,5.26,RO,overcast clouds
18,Ushuaia,-54.8,-68.3,35.26,69,0,0.0,AR,clear sky
19,Dikson,73.5069,80.5464,41.22,79,20,10.36,RU,few clouds
20,Nanortalik,60.1432,-45.2371,47.88,75,100,5.39,GL,overcast clouds
21,Atuona,-9.8,-139.0333,77.88,69,6,16.22,PF,clear sky
22,Mataura,-46.1927,168.8643,37.47,99,100,2.91,NZ,light rain
23,Hithadhoo,-0.6,73.0833,83.44,74,100,13.87,MV,overcast clouds
24,Tilichiki,60.4667,166.1,61.16,74,15,16.24,RU,few clouds
25,Tuktoyaktuk,69.4541,-133.0374,39.2,81,100,20.71,CA,overcast clouds
26,Korla,41.7597,86.1469,73.18,45,43,4.0,CN,scattered clouds
27,Touros,-5.1989,-35.4608,78.26,75,13,15.9,BR,few clouds
28,Yellowknife,62.456,-114.3525,68.56,49,75,8.05,CA,broken clouds
29,Tasiilaq,65.6145,-37.6368,41.4,70,100,5.79,GL,overcast clouds
30,Vaini,-21.2,-175.2,75.36,94,33,6.91,TO,scattered clouds
31,Saint George,37.1041,-113.5841,104.43,19,0,5.99,US,clear sky
32,Rawson,-43.3002,-65.1023,45.64,64,100,13.94,AR,overcast clouds
33,Northam,51.0333,-4.2167,62.62,73,1,9.91,GB,clear sky
34,Flagstaff,35.1981,-111.6513,91.06,76,75,4.61,US,thunderstorm
35,Punta Arenas,-53.15,-70.9167,37.42,93,75,3.44,CL,broken clouds
36,Geraldton,-28.7667,114.6,55.81,76,27,5.75,AU,scattered clouds
37,Quelimane,-17.8786,36.8883,69.75,83,0,4.61,MZ,clear sky
38,Bluff,-46.6,168.3333,37.8,87,100,14.5,NZ,light rain
39,Vila Franca Do Campo,37.7167,-25.4333,70.21,89,100,8.43,PT,overcast clouds
40,Ancud,-41.8697,-73.8203,44.22,73,44,7.85,CL,scattered clouds
41,Shyroke,47.6917,33.2571,67.5,55,0,1.14,UA,clear sky
42,Lompoc,34.6391,-120.4579,90.01,70,0,11.5,US,mist
43,Alta Floresta,-9.8756,-56.0861,94.82,26,0,5.75,BR,clear sky
44,Nome,64.5011,-165.4064,59.16,82,75,8.05,US,broken clouds
45,Bethel,41.3712,-73.414,85.89,58,81,7.74,US,broken clouds
46,New Norfolk,-42.7826,147.0587,43.92,90,85,2.21,AU,overcast clouds
47,Tabou,4.423,-7.3528,75.79,80,98,8.55,CI,overcast clouds
48,Iqaluit,63.7506,-68.5145,51.53,76,75,4.61,CA,light intensity shower rain
49,Khargone,21.8167,75.6,76.17,93,100,13.09,IN,overcast clouds
50,Ballyhaunis,53.7667,-8.7667,58.78,85,100,6.31,IE,overcast clouds
